case,phi,agent_Y,reference_Y,abs_diff_Y,agent_w,reference_w,abs_diff_w,agent_R,reference_R,abs_diff_R,agent_wage_bill,reference_wage_bill,abs_diff_wage_bill,agent_capital_income,reference_capital_income,abs_diff_capital_income
left,0.1,1.2195121951219512,1.2195121951219512,0.0,1.2046400951814398,1.2046400951814398,0.0,0.014872099940511604,0.014872099940511604,0.0,1.2046400951814398,1.2046400951814398,0.0,0.014872099940511604,0.014872099940511604,0.0
left,0.11,1.2434717731907485,1.2434717731907485,0.0,1.2247624863770106,1.2247624863770106,0.0,0.018709286813737944,0.018709286813737944,0.0,1.2247624863770106,1.2247624863770106,0.0,0.018709286813737944,0.018709286813737944,0.0
left,0.12,1.2677484787018256,1.2677484787018256,0.0,1.2446049973462143,1.2446049973462143,0.0,0.023143481355611423,0.023143481355611423,0.0,1.2446049973462143,1.2446049973462143,0.0,0.023143481355611423,0.023143481355611423,0.0
left,0.13,1.2923235978288963,1.2923235978288963,0.0,1.2640989030714547,1.2640989030714547,0.0,0.02822469475744165,0.02822469475744165,0.0,1.2640989030714547,1.2640989030714547,0.0,0.02822469475744165,0.02822469475744165,0.0
left,0.14,1.3171759747102214,1.3171759747102214,0.0,1.2831709047624864,1.2831709047624864,0.0,0.03400506994773491,0.03400506994773491,0.0,1.2831709047624864,1.2831709047624864,0.0,0.03400506994773491,0.03400506994773491,0.0
left,0.15,1.3422818791946312,1.3422818791946312,0.0,1.30174316472231,1.30174316472231,0.0,0.04053871447232108,0.04053871447232108,0.0,1.30174316472231,1.30174316472231,0.0,0.04053871447232108,0.04053871447232108,0.0
left,0.16,1.3676148796498908,1.3676148796498908,0.0,1.3197333958984723,1.3197333958984723,0.0,0.047881483751418506,0.047881483751418506,0.0,1.3197333958984723,1.3197333958984723,0.0,0.047881483751418506,0.047881483751418506,0.0
left,0.17,1.3931457230426303,1.3931457230426303,0.0,1.3370550133798662,1.3370550133798662,0.0,0.056090709662764034,0.056090709662764034,0.0,1.3370550133798662,1.3370550133798662,0.0,0.056090709662764034,0.056090709662764034,0.0
left,0.18,1.4188422247446082,1.4188422247446082,0.0,1.3536173551621375,1.3536173551621375,0.0,0.06522486958247062,0.06522486958247062,0.0,1.3536173551621375,1.3536173551621375,0.0,0.06522486958247062,0.06522486958247062,0.0
left,0.19,1.4446691707598958,1.4446691707598958,0.0,1.3693259793926145,1.3693259793926145,0.0,0.07534319136728147,0.07534319136728147,0.0,1.3693259793926145,1.3693259793926145,0.0,0.07534319136728147,0.07534319136728147,0.0
left,0.2,1.4705882352941173,1.4705882352941173,0.0,1.3840830449826986,1.3840830449826986,0.0,0.08650519031141866,0.08650519031141866,0.0,1.3840830449826986,1.3840830449826986,0.0,0.08650519031141866,0.08650519031141866,0.0
left,0.21,1.4965579167913796,1.4965579167913796,0.0,1.3977877819058664,1.3977877819058664,0.0,0.09877013488551305,0.09877013488551305,0.0,1.3977877819058664,1.3977877819058664,0.0,0.09877013488551305,0.09877013488551305,0.0
left,0.22,1.522533495736906,1.522533495736906,0.0,1.4103370566478892,1.4103370566478892,0.0,0.11219643908901682,0.11219643908901682,0.0,1.4103370566478892,1.4103370566478892,0.0,0.11219643908901682,0.11219643908901682,0.0
left,0.23,1.5484670176525241,1.5484670176525241,0.0,1.4216260371108416,1.4216260371108416,0.0,0.12684098054168247,0.12684098054168247,0.0,1.4216260371108416,1.4216260371108416,0.0,0.12684098054168247,0.12684098054168247,0.0
left,0.24,1.5743073047858942,1.5743073047858942,0.0,1.431548959767526,1.431548959767526,0.0,0.14275834501836823,0.14275834501836823,0.0,1.431548959767526,1.431548959767526,0.0,0.14275834501836823,0.14275834501836823,0.0
left,0.25,1.6,1.6,0.0,1.4400000000000004,1.4400000000000004,0.0,0.16000000000000003,0.16000000000000003,0.0,1.4400000000000004,1.4400000000000004,0.0,0.16000000000000003,0.16000000000000003,0.0
left,0.26,1.6254876462938883,1.6254876462938883,0.0,1.446874244327915,1.446874244327915,0.0,0.17861340196597345,0.17861340196597345,0.0,1.446874244327915,1.446874244327915,0.0,0.17861340196597345,0.17861340196597345,0.0
left,0.27,1.6507098052162432,1.6507098052162432,0.0,1.4520687606466425,1.4520687606466425,0.0,0.1986410445696008,0.1986410445696008,0.0,1.4520687606466425,1.4520687606466425,0.0,0.1986410445696008,0.1986410445696008,0.0
left,0.28,1.675603217158177,1.675603217158177,0.0,1.4554837596762717,1.4554837596762717,0.0,0.22011945748190534,0.22011945748190534,0.0,1.4554837596762717,1.4554837596762717,0.0,0.22011945748190534,0.22011945748190534,0.0
left,0.29,1.7001020061203673,1.7001020061203673,0.0,1.457023837615228,1.457023837615228,0.0,0.24307816850513922,0.24307816850513922,0.0,1.457023837615228,1.457023837615228,0.0,0.24307816850513922,0.24307816850513922,0.0
left,0.3,1.7241379310344829,1.7241379310344829,0.0,1.4565992865636148,1.4565992865636148,0.0,0.26753864447086806,0.26753864447086806,0.0,1.4565992865636148,1.4565992865636148,0.0,0.26753864447086806,0.26753864447086806,0.0
left,0.31,1.7476406850751487,1.7476406850751487,0.0,1.4541274557222619,1.4541274557222619,0.0,0.29351322935288676,0.29351322935288676,0.0,1.4541274557222619,1.4541274557222619,0.0,0.29351322935288676,0.29351322935288676,0.0
left,0.32,1.7705382436260624,1.7705382436260624,0.0,1.449534142798674,1.449534142798674,0.0,0.3210041008273881,0.3210041008273881,0.0,1.449534142798674,1.449534142798674,0.0,0.3210041008273881,0.3210041008273881,0.0
left,0.33,1.7927572606669058,1.7927572606669058,0.0,1.442754991598017,1.442754991598017,0.0,0.3500022690688886,0.3500022690688886,0.0,1.442754991598017,1.442754991598017,0.0,0.3500022690688886,0.3500022690688886,0.0
left,0.34,1.81422351233672,1.81422351233672,0.0,1.4337368686028213,1.4337368686028213,0.0,0.38048664373389857,0.38048664373389857,0.0,1.4337368686028213,1.4337368686028213,0.0,0.38048664373389857,0.38048664373389857,0.0
